Year,RegName,Ball
2019,Івано-Франківська область,32.2040000000000000
2019,Волинська область,33.7522321428571429
2019,Вінницька область,30.4247787610619469
2019,Дніпропетровська область,32.0085158150851582
2019,Донецька область,29.9257425742574257
2019,Житомирська область,29.2410071942446043
2019,Закарпатська область,28.8021201413427562
2019,Запорізька область,29.3602150537634409
2019,Київська область,31.2478991596638655
2019,Кіровоградська область,30.7814569536423841
2019,Луганська область,28.6722689075630252
2019,Львівська область,33.7160493827160494
2019,Миколаївська область,28.7647058823529412
2019,Одеська область,28.4966044142614601
2019,Полтавська область,30.3939929328621908
2019,Рівненська область,32.4973262032085561
2019,Сумська область,32.6108949416342412
2019,Тернопільська область,30.6233766233766234
2019,Харківська область,33.0072580645161290
2019,Херсонська область,32.0364464692482916
2019,Хмельницька область,31.0140105078809107
2019,Черкаська область,31.8311688311688312
2019,Чернівецька область,31.0537634408602151
2019,Чернігівська область,32.1451612903225806
2019,м.Київ,38.7744548286604361
2020,Івано-Франківська область,28.8555555555555556
2020,Волинська область,30.1804222648752399
2020,Вінницька область,27.4766633565044687
2020,Дніпропетровська область,28.9978249048395867
2020,Донецька область,26.9904559915164369
2020,Житомирська область,26.9084628670120898
2020,Закарпатська область,26.9930313588850174
2020,Запорізька область,25.2708830548926014
2020,Київська область,27.6867321867321867
2020,Кіровоградська область,27.5747800586510264
2020,Луганська область,25.5587188612099644
2020,Львівська область,31.3141361256544503
2020,Миколаївська область,26.9145454545454545
2020,Одеська область,25.5962632006498781
2020,Полтавська область,28.9517684887459807
2020,Рівненська область,29.5156950672645740
2020,Сумська область,29.2161716171617162
2020,Тернопільська область,27.3822843822843823
2020,Харківська область,29.8665655799848370
2020,Херсонська область,30.8875255623721881
2020,Хмельницька область,28.3900826446280992
2020,Черкаська область,27.9353146853146853
2020,Чернівецька область,29.1452991452991453
2020,Чернігівська область,29.5090252707581227
2020,м.Київ,35.9934853420195440
